# SECTION,CAMPAIGN SETTINGS BLOCK,,
Setting,Value,,
Brand,Brand Terms,urban tree services wellington,Phrase
Brand,Brand Terms,urban tree services wellington,Exact
Brand,Brand Terms,urban tree wellington,Phrase
Brand,Brand Terms,urban tree wellington,Exact
Brand,Brand Terms,urban tree services nz,Phrase
Brand,Brand Terms,urban tree services nz,Exact
,,,
# SECTION,NEGATIVE KEYWORDS (import via negatives.csv - add as one shared list applied to all 4 campaigns),,
Level,Keyword,Match Type,
Shared List,job,Broad,
Shared List,jobs,Broad,
Shared List,career,Broad,
Shared List,careers,Broad,
Shared List,hiring,Broad,
Shared List,apprentice,Broad,
Shared List,apprenticeship,Broad,
Shared List,salary,Broad,
Shared List,wage,Broad,
Shared List,course,Broad,
Shared List,courses,Broad,
Shared List,training,Broad,
Shared List,qualification,Broad,
Shared List,diploma,Broad,
Shared List,nzqa,Broad,
Shared List,diy,Broad,
Shared List,firewood,Broad,
Shared List,mulch,Broad,
Shared List,woodchips,Broad,
Shared List,chainsaw,Broad,
Shared List,rental,Broad,
Shared List,auckland,Broad,
Shared List,christchurch,Broad,
Shared List,hamilton,Broad,
Shared List,tauranga,Broad,
Shared List,dunedin,Broad,
Shared List,napier,Broad,
Shared List,nelson,Broad,
Shared List,how to,Phrase,
Shared List,do it yourself,Phrase,
Shared List,for sale,Phrase,
Shared List,for hire,Phrase,
Shared List,chainsaw hire,Phrase,
Shared List,stump grinder hire,Phrase,
Shared List,wood chipper hire,Phrase,
Shared List,equipment hire,Phrase,
Shared List,second hand,Phrase,
Shared List,free firewood,Phrase,
Shared List,free wood,Phrase,
Shared List,free tree,Phrase,
Shared List,palmerston north,Phrase,
Shared List,new plymouth,Phrase,
Shared List,arborist course,Phrase,
Shared List,arborist jobs,Phrase,
Note,Full negative list is in negatives.csv,,
